date,Tesla
2014-10-02,46
2014-10-03,37
2014-10-04,39
2014-10-05,39
2014-10-06,31
2014-10-07,36
2014-10-08,33
2014-10-09,55
2014-10-10,100
2014-10-11,52
2014-10-12,45
2014-10-13,45
2014-10-14,37
2014-10-15,25
2014-10-16,38
2014-10-17,31
2014-10-18,39
2014-10-19,48
2014-10-20,33
2014-10-21,36
2014-10-22,37
2014-10-23,23
2014-10-24,33
2014-10-25,33
2014-10-26,39
2014-10-27,36
2014-10-28,35
2014-10-29,26
2014-10-30,30
2014-10-31,27
2014-11-01,88
2014-11-02,100
2014-11-03,76
2014-11-04,70
2014-11-05,80
2014-11-06,88
2014-11-07,81
2014-11-08,85
2014-11-09,71
2014-11-10,77
2014-11-11,71
2014-11-12,95
2014-11-13,73
2014-11-14,83
2014-11-15,68
2014-11-16,79
2014-11-17,49
2014-11-18,76
2014-11-19,73
2014-11-20,61
2014-11-21,80
2014-11-22,71
2014-11-23,69
2014-11-24,65
2014-11-25,62
2014-11-26,76
2014-11-27,85
2014-11-28,78
2014-11-29,80
2014-11-30,66
2014-12-01,51
2014-12-02,65
2014-12-03,49
2014-12-04,67
2014-12-05,53
2014-12-06,72
2014-12-07,70
2014-12-08,55
2014-12-09,52
2014-12-10,54
2014-12-11,44
2014-12-12,66
2014-12-13,36
2014-12-14,45
2014-12-15,60
2014-12-16,60
2014-12-17,48
2014-12-18,52
2014-12-19,62
2014-12-20,69
2014-12-21,69
2014-12-22,56
2014-12-23,72
2014-12-24,69
2014-12-25,68
2014-12-26,100
2014-12-27,90
2014-12-28,81
2014-12-29,66
2014-12-30,67
2014-12-31,69
2015-01-01,77
2015-01-02,50
2015-01-03,66
2015-01-04,55
2015-01-05,42
2015-01-06,52
2015-01-07,44
2015-01-08,71
2015-01-09,48
2015-01-10,61
2015-01-11,46
2015-01-12,65
2015-01-13,65
2015-01-14,88
2015-01-15,68
2015-01-16,53
2015-01-17,63
2015-01-18,56
2015-01-19,59
2015-01-20,56
2015-01-21,56
2015-01-22,56
2015-01-23,56
2015-01-24,56
2015-01-25,60
2015-01-26,56
2015-01-27,69
2015-01-28,86
2015-01-29,90
2015-01-30,100
2015-01-31,85
2015-02-01,72
2015-02-02,74
2015-02-03,45
2015-02-04,68
2015-02-05,74
2015-02-06,68
2015-02-07,65
2015-02-08,78
2015-02-09,73
2015-02-10,64
2015-02-11,70
2015-02-12,70
2015-02-13,100
2015-02-14,97
2015-02-15,79
2015-02-16,62
2015-02-17,70
2015-02-18,74
2015-02-19,58
2015-02-20,82
2015-02-21,60
2015-02-22,76
2015-02-23,68
2015-02-24,67
2015-02-25,66
2015-02-26,60
2015-02-27,73
2015-02-28,56
2015-03-01,70
2015-03-02,81
2015-03-03,63
2015-03-04,69
2015-03-05,67
2015-03-06,79
2015-03-07,81
2015-03-08,58
2015-03-09,62
2015-03-10,53
2015-03-11,81
2015-03-12,68
2015-03-13,58
2015-03-14,76
2015-03-15,89
2015-03-16,90
2015-03-17,84
2015-03-18,74
2015-03-19,100
2015-03-20,99
2015-03-21,97
2015-03-22,87
2015-03-23,64
2015-03-24,55
2015-03-25,61
2015-03-26,46
2015-03-27,62
2015-03-28,77
2015-03-29,71
2015-03-30,68
2015-03-31,67
2015-04-01,68
2015-04-02,78
2015-04-03,78
2015-04-04,82
2015-04-05,94
2015-04-06,70
2015-04-07,89
2015-04-08,74
2015-04-09,94
2015-04-10,71
2015-04-11,59
2015-04-12,68
2015-04-13,73
2015-04-14,76
2015-04-15,69
2015-04-16,63
2015-04-17,76
2015-04-18,58
2015-04-19,72
2015-04-20,79
2015-04-21,70
2015-04-22,72
2015-04-23,75
2015-04-24,90
2015-04-25,75
2015-04-26,67
2015-04-27,82
2015-04-28,59
2015-04-29,62
2015-04-30,100
2015-05-01,100
2015-05-02,70
2015-05-03,58
2015-05-04,44
2015-05-05,44
2015-05-06,49
2015-05-07,45
2015-05-08,43
2015-05-09,44
2015-05-10,47
2015-05-11,39
2015-05-12,43
2015-05-13,46
2015-05-14,35
2015-05-15,38
2015-05-16,38
2015-05-17,35
2015-05-18,33
2015-05-19,33
2015-05-20,36
2015-05-21,40
2015-05-22,42
2015-05-23,46
2015-05-24,35
2015-05-25,36
2015-05-26,38
2015-05-27,38
2015-05-28,36
2015-05-29,39
2015-05-30,43
2015-05-31,39
2015-06-01,85
2015-06-02,79
2015-06-03,64
2015-06-04,57
2015-06-05,69
2015-06-06,76
2015-06-07,100
2015-06-08,69
2015-06-09,75
2015-06-10,91
2015-06-11,75
2015-06-12,65
2015-06-13,83
2015-06-14,79
2015-06-15,80
2015-06-16,79
2015-06-17,64
2015-06-18,83
2015-06-19,72
2015-06-20,93
2015-06-21,79
2015-06-22,75
2015-06-23,69
2015-06-24,79
2015-06-25,72
2015-06-26,72
2015-06-27,65
2015-06-28,90
2015-06-29,80
2015-06-30,66
2015-07-01,50
2015-07-02,65
2015-07-03,64
2015-07-04,72
2015-07-05,66
2015-07-06,62
2015-07-07,57
2015-07-08,56
2015-07-09,71
2015-07-10,50
2015-07-11,56
2015-07-12,72
2015-07-13,60
2015-07-14,53
2015-07-15,55
2015-07-16,62
2015-07-17,81
2015-07-18,100
2015-07-19,97
2015-07-20,71
2015-07-21,71
2015-07-22,71
2015-07-23,69
2015-07-24,60
2015-07-25,68
2015-07-26,74
2015-07-27,77
2015-07-28,64
2015-07-29,62
2015-07-30,62
2015-07-31,57
2015-08-01,74
2015-08-02,83
2015-08-03,78
2015-08-04,73
2015-08-05,87
2015-08-06,95
2015-08-07,100
2015-08-08,86
2015-08-09,88
2015-08-10,78
2015-08-11,68
2015-08-12,72
2015-08-13,64
2015-08-14,70
2015-08-15,79
2015-08-16,87
2015-08-17,75
2015-08-18,72
2015-08-19,73
2015-08-20,65
2015-08-21,84
2015-08-22,65
2015-08-23,76
2015-08-24,62
2015-08-25,67
2015-08-26,64
2015-08-27,85
2015-08-28,93
2015-08-29,90
2015-08-30,76
2015-08-31,86
2015-09-01,37
2015-09-02,43
2015-09-03,50
2015-09-04,38
2015-09-05,45
2015-09-06,39
2015-09-07,37
2015-09-08,36
2015-09-09,35
2015-09-10,32
2015-09-11,43
2015-09-12,41
2015-09-13,37
2015-09-14,38
2015-09-15,46
2015-09-16,45
2015-09-17,38
2015-09-18,40
2015-09-19,42
2015-09-20,42
2015-09-21,40
2015-09-22,38
2015-09-23,42
2015-09-24,47
2015-09-25,45
2015-09-26,45
2015-09-27,51
2015-09-28,47
2015-09-29,50
2015-09-30,100
2015-10-01,100
2015-10-02,83
2015-10-03,83
2015-10-04,91
2015-10-05,51
2015-10-06,62
2015-10-07,62
2015-10-08,65
2015-10-09,68
2015-10-10,74
2015-10-11,61
2015-10-12,55
2015-10-13,64
2015-10-14,69
2015-10-15,90
2015-10-16,84
2015-10-17,85
2015-10-18,59
2015-10-19,67
2015-10-20,64
2015-10-21,51
2015-10-22,66
2015-10-23,57
2015-10-24,78
2015-10-25,72
2015-10-26,57
2015-10-27,57
2015-10-28,65
2015-10-29,59
2015-10-30,56
2015-10-31,56
2015-11-01,72
2015-11-02,74
2015-11-03,75
2015-11-04,87
2015-11-05,75
2015-11-06,87
2015-11-07,99
2015-11-08,83
2015-11-09,86
2015-11-10,69
2015-11-11,72
2015-11-12,72
2015-11-13,73
2015-11-14,79
2015-11-15,68
2015-11-16,76
2015-11-17,61
2015-11-18,70
2015-11-19,61
2015-11-20,99
2015-11-21,82
2015-11-22,77
2015-11-23,67
2015-11-24,79
2015-11-25,92
2015-11-26,76
2015-11-27,80
2015-11-28,82
2015-11-29,100
2015-11-30,74
2015-12-01,68
2015-12-02,75
2015-12-03,75
2015-12-04,83
2015-12-05,79
2015-12-06,69
2015-12-07,71
2015-12-08,58
2015-12-09,58
2015-12-10,87
2015-12-11,71
2015-12-12,62
2015-12-13,54
2015-12-14,51
2015-12-15,60
2015-12-16,64
2015-12-17,64
2015-12-18,71
2015-12-19,76
2015-12-20,61
2015-12-21,75
2015-12-22,81
2015-12-23,64
2015-12-24,77
2015-12-25,100
2015-12-26,79
2015-12-27,73
2015-12-28,60
2015-12-29,83
2015-12-30,80
2015-12-31,67
2016-01-01,81
2016-01-02,81
2016-01-03,65
2016-01-04,75
2016-01-05,78
2016-01-06,69
2016-01-07,67
2016-01-08,77
2016-01-09,71
2016-01-10,100
2016-01-11,87
2016-01-12,75
2016-01-13,82
2016-01-14,73
2016-01-15,84
2016-01-16,57
2016-01-17,80
2016-01-18,69
2016-01-19,81
2016-01-20,61
2016-01-21,72
2016-01-22,65
2016-01-23,78
2016-01-24,64
2016-01-25,57
2016-01-26,57
2016-01-27,82
2016-01-28,65
2016-01-29,80
2016-01-30,73
2016-01-31,88
2016-02-01,50
2016-02-02,57
2016-02-03,55
2016-02-04,58
2016-02-05,61
2016-02-06,59
2016-02-07,59
2016-02-08,56
2016-02-09,54
2016-02-10,56
2016-02-11,100
2016-02-12,75
2016-02-13,61
2016-02-14,57
2016-02-15,54
2016-02-16,53
2016-02-17,64
2016-02-18,56
2016-02-19,66
2016-02-20,58
2016-02-21,55
2016-02-22,50
2016-02-23,44
2016-02-24,51
2016-02-25,54
2016-02-26,42
2016-02-27,56
2016-02-28,68
2016-02-29,47
2016-03-01,33
2016-03-02,35
2016-03-03,39
2016-03-04,28
2016-03-05,38
2016-03-06,31
2016-03-07,34
2016-03-08,30
2016-03-09,36
2016-03-10,32
2016-03-11,30
2016-03-12,29
2016-03-13,33
2016-03-14,39
2016-03-15,27
2016-03-16,29
2016-03-17,30
2016-03-18,27
2016-03-19,31
2016-03-20,31
2016-03-21,34
2016-03-22,37
2016-03-23,37
2016-03-24,41
2016-03-25,33
2016-03-26,35
2016-03-27,38
2016-03-28,32
2016-03-29,27
2016-03-30,40
2016-03-31,100
