date,Microsoft
2015-06-14,66
2015-06-15,96
2015-06-16,100
2015-06-17,89
2015-06-18,94
2015-06-19,93
2015-06-20,78
2015-06-21,70
2015-06-22,88
2015-06-23,96
2015-06-24,89
2015-06-25,98
2015-06-26,87
2015-06-27,78
2015-06-28,66
2015-06-29,88
2015-06-30,94
2015-07-01,97
2015-07-02,82
2015-07-03,80
2015-07-04,66
2015-07-05,63
2015-07-06,80
2015-07-07,79
2015-07-08,84
2015-07-09,81
2015-07-10,89
2015-07-11,71
2015-07-12,59
2015-07-13,85
2015-07-14,83
2015-07-15,89
2015-07-16,85
2015-07-17,85
2015-07-18,75
2015-07-19,69
2015-07-20,92
2015-07-21,86
2015-07-22,90
2015-07-23,89
2015-07-24,81
2015-07-25,73
2015-07-26,72
2015-07-27,89
2015-07-28,84
2015-07-29,100
2015-07-30,99
2015-07-31,97
2015-08-01,68
2015-08-02,60
2015-08-03,87
2015-08-04,87
2015-08-05,84
2015-08-06,85
2015-08-07,91
2015-08-08,71
2015-08-09,64
2015-08-10,94
2015-08-11,95
2015-08-12,85
2015-08-13,100
2015-08-14,84
2015-08-15,67
2015-08-16,57
2015-08-17,85
2015-08-18,88
2015-08-19,83
2015-08-20,87
2015-08-21,76
2015-08-22,57
2015-08-23,59
2015-08-24,80
2015-08-25,81
2015-08-26,82
2015-08-27,80
2015-08-28,88
2015-08-29,70
2015-08-30,63
2015-08-31,81
2015-09-01,100
2015-09-02,85
2015-09-03,96
2015-09-04,94
2015-09-05,69
2015-09-06,72
2015-09-07,79
2015-09-08,82
2015-09-09,91
2015-09-10,87
2015-09-11,80
2015-09-12,73
2015-09-13,68
2015-09-14,88
2015-09-15,77
2015-09-16,85
2015-09-17,80
2015-09-18,83
2015-09-19,61
2015-09-20,71
2015-09-21,96
2015-09-22,83
2015-09-23,84
2015-09-24,79
2015-09-25,82
2015-09-26,61
2015-09-27,67
2015-09-28,83
2015-09-29,89
2015-09-30,79
2015-10-01,73
2015-10-02,81
2015-10-03,68
2015-10-04,68
2015-10-05,78
2015-10-06,100
2015-10-07,96
2015-10-08,83
2015-10-09,85
2015-10-10,71
2015-10-11,67
2015-10-12,87
2015-10-13,74
2015-10-14,75
2015-10-15,80
2015-10-16,74
2015-10-17,53
2015-10-18,59
2015-10-19,83
2015-10-20,82
2015-10-21,83
2015-10-22,72
2015-10-23,73
2015-10-24,60
2015-10-25,67
2015-10-26,75
2015-10-27,73
2015-10-28,85
2015-10-29,85
2015-10-30,70
2015-10-31,62
2015-11-01,62
2015-11-02,94
2015-11-03,90
2015-11-04,94
2015-11-05,88
2015-11-06,98
2015-11-07,75
2015-11-08,78
2015-11-09,86
2015-11-10,83
2015-11-11,81
2015-11-12,96
2015-11-13,80
2015-11-14,68
2015-11-15,72
2015-11-16,85
2015-11-17,86
2015-11-18,80
2015-11-19,100
2015-11-20,85
2015-11-21,67
2015-11-22,71
2015-11-23,87
2015-11-24,84
2015-11-25,84
2015-11-26,91
2015-11-27,94
2015-11-28,71
2015-11-29,69
2015-11-30,90
2015-12-01,98
2015-12-02,81
2015-12-03,93
2015-12-04,77
2015-12-05,69
2015-12-06,74
2015-12-07,85
2015-12-08,96
2015-12-09,96
2015-12-10,100
2015-12-11,89
2015-12-12,74
2015-12-13,59
2015-12-14,87
2015-12-15,87
2015-12-16,96
2015-12-17,89
2015-12-18,84
2015-12-19,80
2015-12-20,66
2015-12-21,92
2015-12-22,80
2015-12-23,82
2015-12-24,72
2015-12-25,88
2015-12-26,85
2015-12-27,79
2015-12-28,82
2015-12-29,92
2015-12-30,82
2015-12-31,68
2016-01-01,56
